Date,Open,High,Low,Close,Adj Close,Volume
2023-04-17,5.890000,6.000000,5.810000,5.960000,5.960000,24908100
2023-04-18,6.000000,6.020000,5.895000,5.980000,5.980000,17036300
2023-04-19,5.900000,6.100000,5.870000,6.080000,6.080000,18337500
2023-04-20,5.980000,6.045000,5.880000,5.920000,5.920000,18844900
2023-04-21,5.900000,5.990000,5.850000,5.940000,5.940000,16723200
2023-04-24,5.920000,5.950000,5.790000,5.830000,5.830000,20058000
2023-04-25,5.775000,5.840000,5.720000,5.750000,5.750000,21036200
2023-04-26,5.810000,5.880000,5.660000,5.670000,5.670000,24210900
2023-04-27,5.770000,6.190000,5.750000,6.060000,6.060000,43199900
2023-04-28,6.150000,6.300000,5.940000,6.230000,6.230000,55605100
2023-05-01,6.520000,6.540000,5.460000,5.470000,5.470000,125423700
2023-05-02,5.260000,5.300000,4.720000,4.905000,4.905000,115499500
2023-05-03,4.970000,5.079000,4.750000,4.850000,4.850000,64212800
2023-05-04,4.780000,4.915000,4.590000,4.895000,4.895000,59715600
2023-05-05,5.010000,5.170000,4.990000,5.160000,5.160000,40830500
2023-05-08,5.180000,5.490000,5.180000,5.470000,5.470000,39933900
2023-05-09,5.350000,5.550000,5.340000,5.410000,5.410000,26785200
2023-05-10,5.580000,5.600000,5.380000,5.480000,5.480000,28624400
2023-05-11,5.440000,5.440000,5.120000,5.140000,5.140000,36075600
2023-05-12,5.170000,5.220000,4.925000,5.020000,5.020000,44397600
2023-05-15,4.680000,4.840000,4.450000,4.770000,4.770000,103290700
2023-05-16,4.790000,4.820000,4.610000,4.760000,4.760000,38510800
2023-05-17,4.760000,4.980000,4.690000,4.960000,4.960000,42730500
2023-05-18,4.980000,5.135000,4.920000,5.070000,5.070000,35183400
2023-05-19,5.070000,5.130000,4.910000,4.930000,4.930000,25737600
2023-05-22,4.990000,5.340000,4.920000,5.260000,5.260000,42509300
2023-05-23,5.240000,5.490000,5.220000,5.290000,5.290000,43878300
2023-05-24,5.200000,5.330000,5.130000,5.310000,5.310000,23887800
2023-05-25,5.390000,5.400000,5.090000,5.210000,5.210000,24474900
2023-05-26,5.240000,5.480000,5.220000,5.410000,5.410000,26982900
2023-05-30,5.810000,6.050000,5.590000,6.030000,6.030000,68003300
2023-05-31,6.200000,7.020000,6.100000,6.940000,6.940000,152429200
2023-06-01,6.710000,7.260000,6.630000,6.820000,6.820000,108760600
2023-06-02,7.110000,7.110000,6.710000,7.030000,7.030000,63316100
2023-06-05,7.120000,7.600000,7.075000,7.250000,7.250000,69556200
2023-06-06,7.180000,7.755000,7.140000,7.650000,7.650000,56839700
2023-06-07,7.860000,8.000000,7.640000,7.740000,7.740000,60872200
2023-06-08,7.690000,8.200000,7.660000,8.120000,8.120000,66988400
2023-06-09,8.250000,8.810000,8.110000,8.180000,8.180000,84720300
2023-06-12,8.460000,9.300000,8.400000,9.160000,9.160000,117905100
2023-06-13,9.540000,9.610000,8.890000,9.540000,9.540000,108293500
2023-06-14,9.790000,10.230000,9.290000,9.740000,9.740000,128420300
2023-06-15,9.180000,9.580000,8.880000,9.550000,9.550000,97639300
2023-06-16,8.910000,9.180000,8.500000,8.600000,8.600000,107236500
2023-06-20,8.310000,8.640000,8.200000,8.590000,8.590000,49114900
2023-06-21,8.510000,8.770000,8.340000,8.630000,8.630000,37733600
2023-06-22,8.540000,8.690000,8.350000,8.490000,8.490000,30149500
2023-06-23,7.910000,8.290000,7.710000,8.280000,8.280000,62118500
2023-06-26,8.240000,8.660000,8.140000,8.200000,8.200000,33526600
2023-06-27,8.330000,8.720000,8.320000,8.640000,8.640000,39402300
2023-06-28,8.590000,9.090000,8.580000,8.870000,8.870000,36374400
2023-06-29,9.070000,9.280000,8.600000,8.710000,8.710000,42722400
2023-06-30,8.920000,9.410000,8.320000,8.340000,8.340000,98034000
2023-07-03,8.360000,8.640000,8.350000,8.520000,8.520000,26842000
2023-07-05,8.490000,8.680000,8.310000,8.380000,8.380000,26954600
2023-07-06,8.230000,8.260000,7.855000,8.100000,8.100000,38013800
2023-07-07,8.090000,8.300000,8.030000,8.050000,8.050000,22681400
2023-07-10,8.100000,8.720000,8.040000,8.710000,8.710000,38750100
2023-07-11,8.810000,9.200000,8.750000,9.070000,9.070000,52586400
2023-07-12,9.340000,9.390000,9.000000,9.200000,9.200000,41158600
2023-07-13,8.920000,9.240000,8.770000,9.160000,9.160000,43361100
2023-07-14,9.220000,9.450000,8.940000,9.080000,9.080000,38350800
2023-07-17,9.040000,9.805000,8.990000,9.480000,9.480000,48308500
2023-07-18,9.550000,9.740000,9.433000,9.570000,9.570000,33895900
2023-07-19,9.760000,10.130000,9.645000,9.850000,9.850000,50051500
2023-07-20,9.630000,9.990000,9.370000,9.570000,9.570000,41587700
2023-07-21,9.675000,9.700000,9.260000,9.430000,9.430000,34444800
2023-07-24,9.440000,9.560000,9.295000,9.450000,9.450000,26643500
2023-07-25,9.400000,9.780000,9.310000,9.330000,9.330000,38811100
2023-07-26,9.260000,9.540000,9.210000,9.520000,9.520000,34922300
2023-07-27,9.710000,9.730000,8.940000,9.090000,9.090000,45958200
2023-07-28,9.360000,9.600000,9.160000,9.550000,9.550000,58205300
2023-07-31,10.390000,11.700000,10.300000,11.450000,11.450000,210958900
2023-08-01,11.060000,11.100000,10.310000,10.350000,10.350000,88881800
2023-08-02,10.120000,10.280000,9.720000,10.080000,10.080000,62865900
2023-08-03,9.920000,10.170000,9.860000,10.050000,10.050000,37651500
2023-08-04,10.080000,10.100000,9.470000,9.500000,9.500000,42370200
2023-08-07,9.500000,9.570000,9.160000,9.390000,9.390000,31682000
2023-08-08,9.030000,9.450000,9.010000,9.310000,9.310000,28127800
2023-08-09,9.270000,9.270000,8.800000,8.990000,8.990000,43368300
2023-08-10,9.090000,9.240000,8.720000,8.720000,8.720000,37657800
2023-08-11,8.530000,8.700000,8.420000,8.650000,8.650000,26833600
2023-08-14,8.520000,8.710000,8.360000,8.680000,8.680000,27735500
2023-08-15,8.600000,8.600000,8.340000,8.370000,8.370000,23709300
2023-08-16,8.230000,8.430000,8.210000,8.260000,8.260000,23398900
2023-08-17,8.350000,8.410000,8.080000,8.110000,8.110000,29582400
2023-08-18,7.920000,8.290000,7.890000,8.220000,8.220000,27173100
2023-08-21,8.250000,8.330000,8.080000,8.290000,8.290000,22676600
2023-08-22,8.400000,8.470000,8.110000,8.150000,8.150000,23164700
2023-08-23,8.080000,8.470000,8.060000,8.430000,8.430000,21855700
2023-08-24,8.480000,8.500000,8.080000,8.120000,8.120000,26080600
2023-08-25,8.120000,8.430000,8.060000,8.290000,8.290000,24163700
2023-08-28,8.380000,8.420000,8.170000,8.230000,8.230000,17488700
2023-08-29,8.180000,8.580000,8.160000,8.460000,8.460000,24487400
2023-08-30,8.460000,8.780000,8.360000,8.740000,8.740000,26123600
2023-08-31,8.780000,8.870000,8.520000,8.660000,8.660000,26175600
2023-09-01,8.770000,8.925000,8.720000,8.790000,8.790000,17694500
2023-09-05,8.750000,8.875000,8.620000,8.750000,8.750000,18906300
2023-09-06,8.730000,8.810000,8.430000,8.540000,8.540000,23909700
2023-09-07,8.350000,8.580000,8.220000,8.570000,8.570000,19320700
2023-09-08,8.540000,8.670000,8.450000,8.550000,8.550000,15045300
2023-09-11,8.650000,8.920000,8.640000,8.900000,8.900000,19320600
